,domestic,international,worldwide,budget,genres,title
/release/rl24217089/?ref_=bo_yld_table_1,441226247,487534523.0,928760770,150000000.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Romance']",Shrek 2
/release/rl896763393/?ref_=bo_yld_table_2,373585825,415390628.0,788976453,200000000.0,"['Action', 'Adventure', 'Sci-Fi']",Spider-Man 2
/release/rl3781789185/?ref_=bo_yld_table_3,370274604,241212132.0,611486736,30000000.0,['Drama'],The Passion of the Christ
/release/rl1449887233/?ref_=bo_yld_table_4,249541069,546093000.0,795634069,130000000.0,"['Adventure', 'Family', 'Fantasy', 'Mystery']",Harry Potter and the Prisoner of Azkaban
/release/rl2807793153/?ref_=bo_yld_table_5,261441092,370001000.0,631442092,92000000.0,"['Action', 'Adventure', 'Animation', 'Family']",The Incredibles
/release/rl1716291073/?ref_=bo_yld_table_6,186740799,365898772.0,552639571,125000000.0,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",The Day After Tomorrow
/release/rl2487649793/?ref_=bo_yld_table_7,176241941,114391481.0,290633422,75000000.0,"['Action', 'Mystery', 'Thriller']",The Bourne Supremacy
/release/rl3933111809/?ref_=bo_yld_table_8,160861908,213721971.0,374583879,75000000.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",Shark Tale
/release/rl292259329/?ref_=bo_yld_table_9,162775358,123225147.0,286000505,165000000.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",The Polar Express
/release/rl2321843713/?ref_=bo_yld_table_10,173008894,174503424.0,347512318,100000000.0,"['Action', 'Adventure', 'Mystery', 'Thriller']",National Treasure
/release/rl1616545281/?ref_=bo_yld_table_11,144801023,208332875.0,353133898,120000000.0,"['Action', 'Drama', 'Sci-Fi', 'Thriller']","I, Robot"
/release/rl3698820609/?ref_=bo_yld_table_12,133378256,364031596.0,497409852,175000000.0,"['Drama', 'History']",Troy
/release/rl862094849/?ref_=bo_yld_table_13,279261160,243396776.0,522657936,80000000.0,"['Comedy', 'Romance']",Meet the Fockers
/release/rl4251026945/?ref_=bo_yld_table_14,377027325,763654686.0,1140682011,94000000.0,"['Action', 'Adventure', 'Drama', 'Fantasy']",The Lord of the Rings: The Return of the King
/release/rl3963717121/?ref_=bo_yld_table_15,120908074,77612860.0,198520934,75000000.0,"['Comedy', 'Drama', 'Romance']",50 First Dates
/release/rl175736321/?ref_=bo_yld_table_16,120177084,179980554.0,300157638,160000000.0,"['Action', 'Adventure', 'Fantasy']",Van Helsing
/release/rl2672854529/?ref_=bo_yld_table_17,119194771,103252111.0,222446882,6000000.0,"['Documentary', 'Drama', 'War']",Fahrenheit 9/11
/release/rl3578758657/?ref_=bo_yld_table_18,114326736,54096491.0,168423227,20000000.0,"['Comedy', 'Sport']",Dodgeball
/release/rl1132037633/?ref_=bo_yld_table_19,114197520,142500000.0,256697520,60000000.0,"['Drama', 'Mystery', 'Thriller']",The Village
/release/rl2639758849/?ref_=bo_yld_table_20,110359362,76921753.0,187281115,10000000.0,"['Horror', 'Mystery', 'Thriller']",The Grudge
/release/rl1078625793/?ref_=bo_yld_table_21,101005703,119920992.0,220926695,65000000.0,"['Crime', 'Drama', 'Thriller']",Collateral
/release/rl426149377/?ref_=bo_yld_table_22,125544280,237200000.0,362744280,110000000.0,"['Crime', 'Thriller']",Ocean's Twelve
/release/rl4285236737/?ref_=bo_yld_table_23,95170481,39564000.0,134734481,40000000.0,"['Comedy', 'Family', 'Romance']",The Princess Diaries 2: Royal Engagement
/release/rl3161687553/?ref_=bo_yld_table_24,88237754,82030996.0,170268750,60000000.0,"['Comedy', 'Crime']",Starsky & Hutch
/release/rl2084800001/?ref_=bo_yld_table_25,88097164,90214565.0,178311729,42000000.0,"['Comedy', 'Romance']",Along Came Polly
/release/rl3395520001/?ref_=bo_yld_table_26,86058055,44067774.0,130125829,17000000.0,['Comedy'],Mean Girls
/release/rl3628303873/?ref_=bo_yld_table_27,85288303,5361427.0,90649730,26000000.0,['Comedy'],Anchorman: The Legend of Ron Burgundy
/release/rl358516225/?ref_=bo_yld_table_28,118634549,92833686.0,211468235,140000000.0,"['Adventure', 'Comedy', 'Family', 'Fantasy']",Lemony Snicket's A Series of Unfortunate Events
/release/rl3647964673/?ref_=bo_yld_table_29,84216833,97000000.0,181216833,,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Horror', 'Mystery', 'Sci-Fi']",Scooby-Doo 2: Monsters Unleashed
/release/rl239830529/?ref_=bo_yld_table_30,138614544,51597569.0,190212113,40000000.0,"['Comedy', 'Family']",Cheaper by the Dozen
/release/rl175343105/?ref_=bo_yld_table_31,85417988,54775005.0,140192993,30000000.0,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",The SpongeBob SquarePants Movie
/release/rl4201088513/?ref_=bo_yld_table_32,81001787,34881008.0,115882795,29000000.0,"['Drama', 'Romance']",The Notebook
/release/rl776308225/?ref_=bo_yld_table_33,80282231,97144859.0,177427090,60000000.0,"['Action', 'Adventure', 'Horror', 'Sci-Fi', 'Thriller']",Alien vs. Predator
/release/rl526616065/?ref_=bo_yld_table_34,77911774,52923078.0,130834852,70000000.0,"['Action', 'Crime', 'Drama', 'Thriller']",Man on Fire
/release/rl3463808513/?ref_=bo_yld_table_35,77872883,141227201.0,219100084,60000000.0,"['Comedy', 'Drama', 'Romance']",The Terminal
/release/rl3025503745/?ref_=bo_yld_table_36,75369589,127802828.0,203172417,50000000.0,"['Animation', 'Comedy', 'Family', 'Fantasy']",Garfield
/release/rl1046447617/?ref_=bo_yld_table_37,74541707,26030337.0,100572044,,"['Action', 'Drama', 'Thriller']",Ladder 49
/release/rl2806744577/?ref_=bo_yld_table_38,73780539,22791941.0,96572480,60000000.0,"['Comedy', 'Family']",Christmas with the Kranks
/release/rl695043585/?ref_=bo_yld_table_39,75331600,48639776.0,123971376,40000000.0,"['Biography', 'Drama', 'Music']",Ray
/release/rl578520577/?ref_=bo_yld_table_40,70831760,42269113.0,113100873,37000000.0,"['Comedy', 'Crime']",White Chicks
