,title,domestic,international,worldwide,budget,year,reference,Action,Adventure,Fantasy,Sci-Fi,Mystery,Thriller,Comedy,Horror,Drama,Romance,Music,Musical,Sport,Animation,War,Biography,Crime,Family,Western,Documentary,History,Film-Noir,Short,Adult,News,Talk-Show,Reality-TV
0,Star Wars: Episode IV - A New Hope,307263857,195751992,503015849,11000000.0,1977,/release/rl2759034369/?ref_=bo_yld_table_1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,The Deep,47346365,0,47346365,,1977,/release/rl3561784833/?ref_=bo_yld_table_2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,The Spy Who Loved Me,46838673,0,46838673,,1977,/release/rl2004059649/?ref_=bo_yld_table_3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Oh, God!",41687243,0,41687243,,1977,/release/rl2137425409/?ref_=bo_yld_table_4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Exorcist II: The Heretic,30749142,0,30749142,,1977,/release/rl1582335489/?ref_=bo_yld_table_5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,The Turning Point,25933445,0,25933445,,1977,/release/rl611747329/?ref_=bo_yld_table_6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Looking for Mr. Goodbar,22512655,0,22512655,,1977,/release/rl3093399041/?ref_=bo_yld_table_7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Saturday Night Fever,94213184,142900000,237113184,,1977,/release/rl2926544385/?ref_=bo_yld_table_8,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Close Encounters of the Third Kind,116395460,171700000,288095460,20000000.0,1977,/release/rl340428289/?ref_=bo_yld_table_9,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Grease,159978870,206200000,366178870,6000000.0,1978,/release/rl2052556289/?ref_=bo_yld_table_1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,National Lampoon's Animal House,120091123,0,120091123,,1978,/release/rl994215425/?ref_=bo_yld_table_2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Close Encounters of the Third Kind,116395460,171700000,288095460,20000000.0,1978,/release/rl340428289/?ref_=bo_yld_table_3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Every Which Way but Loose,85196485,0,85196485,,1978,/release/rl105940481/?ref_=bo_yld_table_4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Heaven Can Wait,81640278,0,81640278,,1978,/release/rl3629549057/?ref_=bo_yld_table_5,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Jaws 2,77737272,106118000,183855272,,1978,/release/rl3562702337/?ref_=bo_yld_table_6,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
